as_of_session,broker_execution_enabled,entry_price,entry_session,exit_price,exit_reason,exit_session,final_decision,hit_10pct,hit_15pct,hit_5pct,mae_pct,market_data_source,market_regime_state,mfe_pct,observed_at_utc,production_applied,r_multiple,reference_close,return_1d_pct,return_3d_pct,return_5d_pct,return_7d_pct,sessions_held,shadow_status,signal_id,status,stop_price,strategy,strategy_score,target_price,theme,theme_state,ticker,vote_count
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,117.18,,,,,0,SHADOW_ONLY,2026-09-18|V3_BASELINE|QRVO,PENDING_ENTRY,113.7,V3_BASELINE,98.9629,126.5544,UNCLASSIFIED,NONE,QRVO,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,17.85,,,,,0,SHADOW_ONLY,2026-09-18|V3_BASELINE|SMMT,PENDING_ENTRY,17.136,V3_BASELINE,99.1266,19.278,UNCLASSIFIED,NONE,SMMT,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,47.56,,,,,0,SHADOW_ONLY,2026-09-18|V3_BASELINE|VRNS,PENDING_ENTRY,45.64,V3_BASELINE,99.6725,51.3648,Cybersecurity,LEADING,VRNS,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,20.01,,,,,0,SHADOW_ONLY,2026-09-18|V3_BASELINE|XP,PENDING_ENTRY,19.57,V3_BASELINE,100.0,21.6108,UNCLASSIFIED,NONE,XP,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,12.22,,,,,0,SHADOW_ONLY,2026-09-18|VOLATILITY_CONTRACTION_BREAKOUT|BGC,PENDING_ENTRY,11.88,VOLATILITY_CONTRACTION_BREAKOUT,85.726,13.1976,UNCLASSIFIED,NONE,BGC,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,53.95,,,,,0,SHADOW_ONLY,2026-09-18|VOLATILITY_CONTRACTION_BREAKOUT|EQH,PENDING_ENTRY,52.33,VOLATILITY_CONTRACTION_BREAKOUT,86.9187,58.266,UNCLASSIFIED,NONE,EQH,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,150.11,,,,,0,SHADOW_ONLY,2026-09-18|VOLATILITY_CONTRACTION_BREAKOUT|GILD,PENDING_ENTRY,145.2,VOLATILITY_CONTRACTION_BREAKOUT,87.4973,162.1188,UNCLASSIFIED,NONE,GILD,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,427.71,,,,,0,SHADOW_ONLY,2026-09-18|VOLATILITY_CONTRACTION_BREAKOUT|HCA,PENDING_ENTRY,416.27,VOLATILITY_CONTRACTION_BREAKOUT,89.6452,461.9268,UNCLASSIFIED,NONE,HCA,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,42.02,,,,,0,SHADOW_ONLY,2026-09-18|VOLATILITY_CONTRACTION_BREAKOUT|HRMY,PENDING_ENTRY,40.97,VOLATILITY_CONTRACTION_BREAKOUT,88.7636,45.3816,UNCLASSIFIED,NONE,HRMY,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,50.75,,,,,0,SHADOW_ONLY,2026-09-18|VOLATILITY_CONTRACTION_BREAKOUT|HTFL,PENDING_ENTRY,48.87,VOLATILITY_CONTRACTION_BREAKOUT,88.5153,54.81,UNCLASSIFIED,NONE,HTFL,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,24.3,,,,,0,SHADOW_ONLY,2026-09-18|VOLATILITY_CONTRACTION_BREAKOUT|OPCH,PENDING_ENTRY,23.76,VOLATILITY_CONTRACTION_BREAKOUT,86.7931,26.244,UNCLASSIFIED,NONE,OPCH,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,95.19,,,,,0,SHADOW_ONLY,2026-09-18|VOLATILITY_CONTRACTION_BREAKOUT|UNM,PENDING_ENTRY,93.19,VOLATILITY_CONTRACTION_BREAKOUT,89.4541,102.8052,UNCLASSIFIED,NONE,UNM,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,47.56,,,,,0,SHADOW_ONLY,2026-09-18|VOLATILITY_CONTRACTION_BREAKOUT|VRNS,PENDING_ENTRY,45.64,VOLATILITY_CONTRACTION_BREAKOUT,85.9525,51.3648,Cybersecurity,LEADING,VRNS,
2026-09-18,False,,,,,,WAIT FOR TRIGGER,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,35.95,,,,,0,SHADOW_ONLY,2026-09-18|VOLATILITY_CONTRACTION_BREAKOUT|WKC,PENDING_ENTRY,35.51,VOLATILITY_CONTRACTION_BREAKOUT,88.8537,38.826,UNCLASSIFIED,NONE,WKC,
2026-09-21,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-21T18:01:42.528219+00:00,False,,265.63,,,,,0,SHADOW_ONLY,2026-09-21|CROSS_SECTIONAL_MOMENTUM|BE,PENDING_ENTRY,255.0048,CROSS_SECTIONAL_MOMENTUM,86.7849,286.8804,UNCLASSIFIED,NONE,BE,
2026-09-21,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-21T18:01:42.528219+00:00,False,,53.95,,,,,0,SHADOW_ONLY,2026-09-21|CROSS_SECTIONAL_MOMENTUM|EQH,PENDING_ENTRY,52.33,CROSS_SECTIONAL_MOMENTUM,85.8433,58.266,UNCLASSIFIED,NONE,EQH,
2026-09-21,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-21T18:01:42.528219+00:00,False,,427.71,,,,,0,SHADOW_ONLY,2026-09-21|CROSS_SECTIONAL_MOMENTUM|HCA,PENDING_ENTRY,416.27,CROSS_SECTIONAL_MOMENTUM,85.3657,461.9268,UNCLASSIFIED,NONE,HCA,
