ticker,price,avg_share_volume20,avg_dollar_volume20,median_dollar_volume20,adr20_pct,tradable,rejection_reason,name,exchange
BIOX,0.42,473000.0,203970.0,64463.0,10.71,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,Bioceres Crop Solutions Corp. - Ordinary Shares,NASDAQ
FURY,0.59,326500.0,203522.0,165027.0,4.78,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,Fury Gold Mines Limited Common Shares,NYSE American
PHAR,11.21,17650.0,203522.0,203894.0,3.66,False,SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,"Pharming Group N.V. - ADS, each representing 10 ordinary shares",NASDAQ
RNAZ,1.69,87440.0,203517.0,99067.0,11.56,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,"TransCode Therapeutics, Inc. - Common Stock",NASDAQ
INTZ,0.85,263065.0,202727.0,116193.0,8.95,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,Intrusion Inc. - Common Stock,NASDAQ
BWIV,9.95,20405.0,202706.0,6451.0,0.13,False,SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME|LOW_DAILY_RANGE,Blue Water Acquisition Corp. IV Class A Ordinary Shares,NYSE
QNME,0.31,572180.0,202099.0,35817.0,11.14,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,"Quanome Technologies, Inc. - Common Stock",NASDAQ
MDAI,1.6,125900.0,202092.0,188469.0,3.72,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,"Spectral AI, Inc. - Class A Common Stock",NASDAQ
PLMK,10.67,18805.0,201854.0,9115.0,0.43,False,SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME|LOW_DAILY_RANGE,Plum Acquisition Corp. IV - Class A Ordinary Shares,NASDAQ
EDVA,0.25,526740.0,201664.0,120086.0,11.03,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,"Endovia Health Sciences, Inc. Common Stock",NYSE American
